year,country,continent,industry,enscore,enero91v,ccii,gwe,gwghg
2011,argentina,south america,services,,,-1.1955299,,
2012,argentina,south america,services,,,-0.88176137,,
2013,argentina,south america,services,,,-0.99763423,,
2014,argentina,south america,services,,,-0.93008739,,
2015,argentina,south america,services,,,-0.97186214,,
2016,argentina,south america,services,,,-0.68081659,,
2017,argentina,south america,services,,,-0.18797544,,
2018,argentina,south america,services,,,-0.53039455,,
2019,argentina,south america,services,,,1.4093807,,
2020,argentina,south america,services,,,1.3852117,,
2021,argentina,south america,services,,,1.2393923,,
2022,argentina,south america,services,,,0.92781019,,
2011,argentina,south america,power generation,,,-2.0609245,,
2012,argentina,south america,power generation,,,,,
2013,argentina,south america,power generation,,,,,
2014,argentina,south america,power generation,,,,,
2015,argentina,south america,power generation,,,,,
2016,argentina,south america,power generation,6.0799999,,,,
2017,argentina,south america,power generation,28.92,,,-1.868144,
2018,argentina,south america,power generation,26.190001,,,0.53944153,
2019,argentina,south america,power generation,18.110001,,,1.1860372,
2020,argentina,south america,power generation,32.349998,,,-1.3158414,
2021,argentina,south america,power generation,40.450001,,,-0.99963808,
2022,argentina,south america,power generation,38.060001,,-1.154204,-0.60763609,
2011,australia,oceania,services,,,,,
2012,australia,oceania,services,,,,,
2013,australia,oceania,services,,,,,
2013,australia,oceania,services,19.5,,,,
2014,australia,oceania,services,19.5,,,0.13183627,
2014,australia,oceania,services,19.26,,,0.13183627,
2015,australia,oceania,services,19.26,,,-1.7621918,
2015,australia,oceania,services,40.369999,,,-1.7621918,
2016,australia,oceania,services,40.369999,,,0.40340093,
2016,australia,oceania,services,39.380001,,,0.40340093,
2017,australia,oceania,services,39.380001,,,-0.000159149,
2017,australia,oceania,services,41.630001,,,-0.000159149,
2018,australia,oceania,services,41.630001,,0.000432269,-1.0564357,
2018,australia,oceania,services,54.849998,,0.000432269,-1.0564357,
2019,australia,oceania,services,54.849998,,0.073158182,-0.47018832,
2019,australia,oceania,services,63.43,1.73,0.073158182,-0.47018832,
2020,australia,oceania,services,63.43,1.73,,-0.32754827,-0.049588285
2020,australia,oceania,services,68.489998,0.79000002,,-0.32754827,-0.049588285
2021,australia,oceania,services,68.489998,0.79000002,,,
2021,australia,oceania,services,,,,,
2022,australia,oceania,services,,,,,
2011,australia,oceania,hospitality,8.6700001,,,-0.36407286,
2011,australia,oceania,hospitality,10.24,,,-0.36407286,
2012,australia,oceania,hospitality,10.24,,,-0.26425466,
2012,australia,oceania,hospitality,13.55,,,-0.26425466,
2013,australia,oceania,hospitality,13.55,,-1.4393348,-0.52188486,
2013,australia,oceania,hospitality,3.95,,-1.4393348,-0.52188486,
2014,australia,oceania,hospitality,3.95,,-1.4834157,-1.3047414,
2014,australia,oceania,hospitality,4.7199998,,-1.4834157,-1.3047414,
2015,australia,oceania,hospitality,4.7199998,,-1.9884858,-1.2639755,
2015,australia,oceania,hospitality,1.3,,-1.9884858,-1.2639755,
2016,australia,oceania,hospitality,1.3,,-2.1101084,-1.8045043,
2016,australia,oceania,hospitality,1.28,,-2.1101084,-1.8045043,
2017,australia,oceania,hospitality,1.28,,,0.062429398,
2017,australia,oceania,hospitality,0,,,0.062429398,
2018,australia,oceania,hospitality,0,,,0.43544465,
2019,australia,oceania,hospitality,0,,,-1.2897838,
2019,australia,oceania,hospitality,17.32,,,-1.2897838,
2020,australia,oceania,hospitality,17.32,,,-2.9435194,
2020,australia,oceania,hospitality,48.32,,,-2.9435194,
2021,australia,oceania,hospitality,48.32,,,0.47008795,
2021,australia,oceania,hospitality,47.549999,,,0.47008795,
2022,australia,oceania,hospitality,47.549999,,,0.031380519,
2011,australia,oceania,infrastructure,42.25,,-1.2939789,-2.1879935,
2012,australia,oceania,infrastructure,42.52,,,0.31189641,
2013,australia,oceania,infrastructure,44,,,-0.14630227,
2014,australia,oceania,infrastructure,49.939999,,,-0.51681167,
2015,australia,oceania,infrastructure,42.830002,,,0.82140207,
2016,australia,oceania,infrastructure,,,,,
2017,australia,oceania,infrastructure,,,,,
2018,australia,oceania,infrastructure,,,,,
2019,australia,oceania,infrastructure,,,,,
2020,australia,oceania,infrastructure,,,,,
2021,australia,oceania,infrastructure,,,,,
2022,australia,oceania,infrastructure,,,,,
2011,australia,oceania,power generation,67.989998,6688.48,1.5574275,0.95687222,1.1371531
2011,australia,oceania,power generation,69.199997,6695.77,1.5574275,0.95687222,1.1371531
2012,australia,oceania,power generation,69.199997,6695.77,1.4373406,2.7118387,2.8257928
2012,australia,oceania,power generation,54.18,7610.0601,1.4373406,2.7118387,2.8257928
2013,australia,oceania,power generation,54.18,7610.0601,-2.7345078,-1.9227018,-4.418386
2013,australia,oceania,power generation,50.52,6317.7998,-2.7345078,-1.9227018,-4.418386
2014,australia,oceania,power generation,50.52,6317.7998,1.3646196,2.3664529,5.1582074
2014,australia,oceania,power generation,41.919998,10617.4,1.3646196,2.3664529,5.1582074
2015,australia,oceania,power generation,41.919998,10617.4,0.24737856,0.79107773,1.1908072
2015,australia,oceania,power generation,39.810001,11219.6,0.24737856,0.79107773,1.1908072
2016,australia,oceania,power generation,39.810001,11219.6,0.12727396,0.30563849,-4.4935417
2016,australia,oceania,power generation,39.029999,7623.0898,0.12727396,0.30563849,-4.4935417
2017,australia,oceania,power generation,39.029999,7623.0898,0.37649649,0.38613319,0.46234787
2017,australia,oceania,power generation,41.459999,7566.0898,0.37649649,0.38613319,0.46234787
2018,australia,oceania,power generation,41.459999,7566.0898,1.0031289,0.11505245,1.0385793
2018,australia,oceania,power generation,51.080002,7479.3301,1.0031289,0.11505245,1.0385793
2019,australia,oceania,power generation,51.080002,7479.3301,0.860897,2.6445291,1.8440322
2019,australia,oceania,power generation,37.66,8226.1904,0.860897,2.6445291,1.8440322
2020,australia,oceania,power generation,37.66,8226.1904,1.100871,2.15413,0.96326077
2020,australia,oceania,power generation,29.66,8041.02,1.100871,2.15413,0.96326077
2021,australia,oceania,power generation,29.66,8041.02,1.6092992,1.4834148,1.216239
2021,australia,oceania,power generation,31.690001,7283.3599,1.6092992,1.4834148,1.216239
2022,australia,oceania,power generation,31.690001,7283.3599,0.98901194,1.1613084,1.3447678
2011,australia,oceania,materials,31.43,,,-0.31096298,
2011,australia,oceania,materials,31.120001,,,-0.31096298,
2012,australia,oceania,materials,31.120001,,,0.27382815,
2012,australia,oceania,materials,30.379999,,,0.27382815,
2013,australia,oceania,materials,30.379999,,,-1.1063384,
2013,australia,oceania,materials,37.209999,,,-1.1063384,
2014,australia,oceania,materials,37.209999,,,0.20028259,
2014,australia,oceania,materials,36.650002,,,0.20028259,
2015,australia,oceania,materials,36.650002,,-1.577018,-1.2994148,
2015,australia,oceania,materials,35.619999,,-1.577018,-1.2994148,
2016,australia,oceania,materials,35.619999,,,3.5203991,
2016,australia,oceania,materials,10.41,,,3.5203991,
2017,australia,oceania,materials,10.41,,,0.73980141,
2017,australia,oceania,materials,7.1599998,,,0.73980141,
2018,australia,oceania,materials,7.1599998,,,,
2018,australia,oceania,materials,,,,,
2019,australia,oceania,materials,,,,,
2020,australia,oceania,materials,,,,,
2021,australia,oceania,materials,,,,,
2022,australia,oceania,materials,,,,,
2011,australia,oceania,infrastructure,37.400002,,,-0.64278668,
2011,australia,oceania,infrastructure,39.400002,,,-0.64278668,
2012,australia,oceania,infrastructure,39.400002,,0.27366433,-0.31220052,
2012,australia,oceania,infrastructure,49.650002,370.44,0.27366433,-0.31220052,
2013,australia,oceania,infrastructure,49.650002,370.44,-0.53713357,-1.0535446,-0.64356923
2013,australia,oceania,infrastructure,54.130001,338.89001,-0.53713357,-1.0535446,-0.64356923
2014,australia,oceania,infrastructure,54.130001,338.89001,0.032348227,-0.026113007,0.020247687
2014,australia,oceania,infrastructure,55.139999,417.67999,0.032348227,-0.026113007,0.020247687
2015,australia,oceania,infrastructure,55.139999,417.67999,,,
2015,australia,oceania,infrastructure,,,,,
2011,australia,oceania,materials,,,,,
2012,australia,oceania,materials,,,,,
2013,australia,oceania,materials,,,,,
2014,australia,oceania,materials,,,,,
2015,australia,oceania,materials,,,-2.5016749,,
2016,australia,oceania,materials,,,,,
2017,australia,oceania,materials,,,,,
2011,australia,oceania,hospitality,9.7600002,,,,
2012,australia,oceania,hospitality,10.05,,,-0.010734632,
2012,australia,oceania,hospitality,11.26,,,-0.010734632,
2013,australia,oceania,hospitality,11.26,,,-0.55392402,
2013,australia,oceania,hospitality,17.129999,,,-0.55392402,
2014,australia,oceania,hospitality,17.129999,,-2.263459,-2.3954027,
2014,australia,oceania,hospitality,20.09,,-2.263459,-2.3954027,
2015,australia,oceania,hospitality,20.09,,,-0.26343668,
2015,australia,oceania,hospitality,22.76,,,-0.26343668,
2016,australia,oceania,hospitality,22.76,,,0.16406059,
2016,australia,oceania,hospitality,24.08,,,0.16406059,
2017,australia,oceania,hospitality,24.08,,,0.048826955,
2017,australia,oceania,hospitality,22.969999,,,0.048826955,
2018,australia,oceania,hospitality,22.969999,,,-2.8028758,
2018,australia,oceania,hospitality,50.040001,,,-2.8028758,
2019,australia,oceania,hospitality,50.040001,,,0.37812802,
2019,australia,oceania,hospitality,52.099998,,,0.37812802,
2020,australia,oceania,hospitality,52.099998,,,0.44238418,
2020,australia,oceania,hospitality,50.919998,,,0.44238418,
2021,australia,oceania,hospitality,50.919998,,,0.32190481,
2021,australia,oceania,hospitality,51.119999,224.24001,,0.32190481,
2022,australia,oceania,hospitality,51.119999,224.24001,,0.031380519,0.39868984
2011,australia,oceania,manufacturing,,,,,
2012,australia,oceania,manufacturing,,,,,
2012,australia,oceania,manufacturing,0,,,,
2013,australia,oceania,manufacturing,0,,,0.039195117,
2014,australia,oceania,manufacturing,0,,,0.087158591,
2015,australia,oceania,manufacturing,0,,,0.30040622,
2016,australia,oceania,manufacturing,0,,,0.26877397,
2017,australia,oceania,manufacturing,0,,,0.28261462,
2018,australia,oceania,manufacturing,0,,-1.6479466,-1.286562,
2019,australia,oceania,manufacturing,0,,,-1.0357473,
2019,australia,oceania,manufacturing,12.07,,,-1.0357473,
2020,australia,oceania,manufacturing,12.07,,,-1.0904123,
2020,australia,oceania,manufacturing,22.92,58.5,,-1.0904123,
2021,australia,oceania,manufacturing,22.92,58.5,,0.61091071,-0.083403662
2021,australia,oceania,manufacturing,20.34,53.279999,,0.61091071,-0.083403662
2022,australia,oceania,manufacturing,20.34,53.279999,,0.30851784,0.066226289
2011,australia,oceania,materials,68.540001,730.12,0.72141451,0.58660764,0.56937563
2011,australia,oceania,materials,63.150002,739.91998,0.72141451,0.58660764,0.56937563
2012,australia,oceania,materials,63.150002,739.91998,0.90707868,1.097941,0.87283713
2012,australia,oceania,materials,63.25,963.37,0.90707868,1.097941,0.87283713
2013,australia,oceania,materials,63.25,963.37,0.17225583,-0.57743996,-0.38704342
2013,australia,oceania,materials,67.849998,814.57001,0.17225583,-0.57743996,-0.38704342
2014,australia,oceania,materials,67.849998,814.57001,0.85939157,0.82914597,0.67301935
2014,australia,oceania,materials,69.360001,903.71002,0.85939157,0.82914597,0.67301935
2015,australia,oceania,materials,69.360001,903.71002,0.78599441,0.83839995,0.52941662
2015,australia,oceania,materials,70.330002,976.40997,0.78599441,0.83839995,0.52941662
2016,australia,oceania,materials,70.330002,976.40997,1.1734682,1.533824,1.3857147
2016,australia,oceania,materials,68.57,992.53003,1.1734682,1.533824,1.3857147
2017,australia,oceania,materials,68.57,992.53003,1.1440426,1.2705622,1.2754768
2017,australia,oceania,materials,70.529999,944.06,1.1440426,1.2705622,1.2754768
2018,australia,oceania,materials,70.529999,944.06,,0.59553516,-0.061307114
2018,australia,oceania,materials,68.169998,915.82001,,0.59553516,-0.061307114
2019,australia,oceania,materials,68.169998,915.82001,,0.22236435,-0.13279127
2019,australia,oceania,materials,69.68,962.16998,,0.22236435,-0.13279127
2020,australia,oceania,materials,69.68,962.16998,,0.031464353,-0.066112816
2020,australia,oceania,materials,72.57,916.51001,,0.031464353,-0.066112816
2021,australia,oceania,materials,72.57,916.51001,,1.0994736,0.16036533
2021,australia,oceania,materials,67.150002,836.09998,,1.0994736,0.16036533
2022,australia,oceania,materials,67.150002,836.09998,,0.25467911,0.13478321
2011,australia,oceania,services,72.300003,6.3400002,0.76118106,0.046235356,0.86545116
2012,australia,oceania,services,69.260002,2.22,1.1741644,1.6687825,1.182008
2013,australia,oceania,services,71.540001,1.89,0.86862642,0.60444361,0.85268629
2014,australia,oceania,services,79.769997,2.02,0.95354527,0.32856178,0.86766267
2015,australia,oceania,services,76.989998,2.54,0.86171442,1.4437103,0.85920346
2016,australia,oceania,services,81.010002,1.99,0.78453469,0.58795387,0.83256942
2017,australia,oceania,services,84.769997,1.87,0.60840905,0.46329176,0.59642869
2018,australia,oceania,services,83.519997,4.4499998,0.3543168,0.77711093,0.35458913
2019,australia,oceania,services,85.599998,7.9299998,0.40721381,0.54429883,0.3243084
2020,australia,oceania,services,91.849998,6,-0.19380829,-0.67052835,-0.2436786
2021,australia,oceania,services,89.610001,6.5799999,0.3655999,0.90383595,0.2591193
2022,australia,oceania,services,90.849998,4.5700002,-0.22316866,-0.31965917,-0.27114984
2011,australia,oceania,"biotech, health care & pharma",24.309999,,,-0.34349626,
2011,australia,oceania,"biotech, health care & pharma",14.62,,,-0.34349626,
2012,australia,oceania,"biotech, health care & pharma",14.62,,,-0.000319467,
2012,australia,oceania,"biotech, health care & pharma",15.22,,,-0.000319467,
2013,australia,oceania,"biotech, health care & pharma",15.22,,,0.44843161,
2013,australia,oceania,"biotech, health care & pharma",13.68,,,0.44843161,
2014,australia,oceania,"biotech, health care & pharma",13.68,,,-0.45944795,
2014,australia,oceania,"biotech, health care & pharma",20.049999,,,-0.45944795,
2015,australia,oceania,"biotech, health care & pharma",20.049999,,,-0.05291013,
2015,australia,oceania,"biotech, health care & pharma",23.290001,,,-0.05291013,
2016,australia,oceania,"biotech, health care & pharma",23.290001,,,0.11096967,
2016,australia,oceania,"biotech, health care & pharma",24.42,,,0.11096967,
2017,australia,oceania,"biotech, health care & pharma",24.42,,-0.08443547,-1.0653367,
2017,australia,oceania,"biotech, health care & pharma",38.490002,,-0.08443547,-1.0653367,
2018,australia,oceania,"biotech, health care & pharma",38.490002,,0.45741484,0.81661069,
2018,australia,oceania,"biotech, health care & pharma",37.529999,,0.45741484,0.81661069,
2019,australia,oceania,"biotech, health care & pharma",37.529999,,0.66993606,-0.20364799,
2019,australia,oceania,"biotech, health care & pharma",48.73,666.5,0.66993606,-0.20364799,
2020,australia,oceania,"biotech, health care & pharma",48.73,666.5,-0.048820816,0.3607733,0.85751158
2020,australia,oceania,"biotech, health care & pharma",49.490002,761.75,-0.048820816,0.3607733,0.85751158
2021,australia,oceania,"biotech, health care & pharma",49.490002,761.75,0.3587079,0.50344867,-1.8834853
2021,australia,oceania,"biotech, health care & pharma",50.82,539.46002,0.3587079,0.50344867,-1.8834853
2022,australia,oceania,"biotech, health care & pharma",50.82,539.46002,0.16109079,0.45329645,0.005993577
2011,australia,oceania,services,93.989998,17.24,0.97859335,0.50779128,1.3796426
2011,australia,oceania,services,92.019997,17.08,0.97859335,0.50779128,1.3796426
2012,australia,oceania,services,92.019997,17.08,2.1086762,2.070713,2.123867
2012,australia,oceania,services,93.760002,15.07,2.1086762,2.070713,2.123867
2013,australia,oceania,services,93.760002,15.07,1.2833509,1.595094,1.2744638
2013,australia,oceania,services,92.169998,15.16,1.2833509,1.595094,1.2744638
2014,australia,oceania,services,92.169998,15.16,0.95354527,2.0637968,0.92109513
2014,australia,oceania,services,80.980003,19.15,0.95354527,2.0637968,0.92109513
2015,australia,oceania,services,80.980003,19.15,0.49499911,0.50885576,0.45140857
2015,australia,oceania,services,83.989998,15.4,0.49499911,0.50885576,0.45140857
2016,australia,oceania,services,83.989998,15.4,0.78453469,0.95201468,0.8335138
2016,australia,oceania,services,84.970001,16.35,0.78453469,0.95201468,0.8335138
2017,australia,oceania,services,84.970001,16.35,1.0066013,1.320358,0.9975726
2017,australia,oceania,services,83.949997,17.27,1.0066013,1.320358,0.9975726
2018,australia,oceania,services,83.949997,17.27,0.53125906,0.65648466,0.52187014
2018,australia,oceania,services,85.610001,18.360001,0.53125906,0.65648466,0.52187014
2019,australia,oceania,services,85.610001,18.360001,0.57424164,1.1091174,0.47191033
2019,australia,oceania,services,83.889999,14.12,0.57424164,1.1091174,0.47191033
2020,australia,oceania,services,83.889999,14.12,0.48291457,0.7808851,0.43274227
2020,australia,oceania,services,83.959999,11.13,0.48291457,0.7808851,0.43274227
2021,australia,oceania,services,83.959999,11.13,0.88987535,1.2447369,0.78279871
2021,australia,oceania,services,83.129997,10.6,0.88987535,1.2447369,0.78279871
2022,australia,oceania,services,83.129997,10.6,0.61390686,0.77609372,0.56627184
2011,australia,oceania,fossil fuels,33.720001,394.07001,-0.70404255,-1.1708295,-0.67940313
2011,australia,oceania,fossil fuels,31.940001,458.09,-0.70404255,-1.1708295,-0.67940313
2012,australia,oceania,fossil fuels,31.940001,458.09,-0.55533618,0.76689798,
2012,australia,oceania,fossil fuels,23.139999,,-0.55533618,0.76689798,
2013,australia,oceania,fossil fuels,23.139999,,-0.32531533,2.7422233,
2013,australia,oceania,fossil fuels,8.3500004,,-0.32531533,2.7422233,
2014,australia,oceania,fossil fuels,8.3500004,,-0.9244197,0.087191977,
2014,australia,oceania,fossil fuels,1.4299999,,-0.9244197,0.087191977,
2015,australia,oceania,fossil fuels,1.4299999,,-0.8976925,-3.573626,
2015,australia,oceania,fossil fuels,23.65,,-0.8976925,-3.573626,
2016,australia,oceania,fossil fuels,23.65,,-0.95921111,-0.8682425,
2016,australia,oceania,fossil fuels,24.379999,910.46002,-0.95921111,-0.8682425,
2017,australia,oceania,fossil fuels,24.379999,910.46002,-1.4561726,-0.73382419,-1.3116307
2017,australia,oceania,fossil fuels,19.940001,793.45001,-1.4561726,-0.73382419,-1.3116307
2018,australia,oceania,fossil fuels,19.940001,793.45001,-1.2483847,-4.1090455,-0.99793112
2018,australia,oceania,fossil fuels,40.779999,827.47998,-1.2483847,-4.1090455,-0.99793112
2019,australia,oceania,fossil fuels,40.779999,827.47998,,0.70411736,-0.086690843
2019,australia,oceania,fossil fuels,36.759998,1199.25,,0.70411736,-0.086690843
2020,australia,oceania,fossil fuels,36.759998,1199.25,,-2.0128961,-0.32871461
2020,australia,oceania,fossil fuels,49.43,1182.5699,,-2.0128961,-0.32871461
2021,australia,oceania,fossil fuels,49.43,1182.5699,,0.085719362,0.16628323
2021,australia,oceania,fossil fuels,49.209999,1306.63,,0.085719362,0.16628323
2022,australia,oceania,fossil fuels,49.209999,1306.63,,-0.13155517,0.14659865
2014,australia,oceania,services,0,,,4.65131,
2015,australia,oceania,services,8.1999998,,,-0.49540809,
2016,australia,oceania,services,19.43,,,-1.0600277,
2017,australia,oceania,services,15.89,,,0.55567366,
2018,australia,oceania,services,,,-1.0612214,,
2019,australia,oceania,services,,,,,
2020,australia,oceania,services,,,,,
2011,australia,oceania,materials,43.630001,,-0.82848322,-0.96294332,
2011,australia,oceania,materials,38.23,,-0.82848322,-0.96294332,
2012,australia,oceania,materials,38.23,,0.56511891,0.84388548,
2012,australia,oceania,materials,37.439999,,0.56511891,0.84388548,
2013,australia,oceania,materials,37.439999,,0.17225583,,
2013,australia,oceania,materials,,,0.17225583,,
2014,australia,oceania,materials,,,0.15392758,,
2015,australia,oceania,materials,,,,,
2011,australia,oceania,materials,72.169998,736.46997,0.50000054,-0.19864452,0.3590847
2011,australia,oceania,materials,83.040001,771.28998,0.50000054,-0.19864452,0.3590847
2012,australia,oceania,materials,83.040001,771.28998,0.73609877,1.1333879,
2012,australia,oceania,materials,81.050003,,0.73609877,1.1333879,
2013,australia,oceania,materials,81.050003,,-0.046214979,-0.50643849,
2013,australia,oceania,materials,83.839996,,-0.046214979,-0.50643849,
2014,australia,oceania,materials,83.839996,,-0.55153644,-0.41695994,
2014,australia,oceania,materials,83.870003,,-0.55153644,-0.41695994,
2015,australia,oceania,materials,83.870003,,-0.44688162,,
2015,australia,oceania,materials,,,-0.44688162,,
2016,australia,oceania,materials,,,-0.49596572,,
2011,australia,oceania,infrastructure,30.99,,,1.0343663,
2012,australia,oceania,infrastructure,30.99,,,0.099600159,
2012,australia,oceania,infrastructure,33.619999,,,0.099600159,
2013,australia,oceania,infrastructure,33.619999,,,1.7153453,
2013,australia,oceania,infrastructure,20.01,,,1.7153453,
2014,australia,oceania,infrastructure,20.01,,,0.30877694,
2014,australia,oceania,infrastructure,17.07,,,0.30877694,
2015,australia,oceania,infrastructure,17.07,,,0.1548582,
2015,australia,oceania,infrastructure,17.110001,,,0.1548582,
2016,australia,oceania,infrastructure,17.110001,,,-1.5978928,
2016,australia,oceania,infrastructure,26.879999,,,-1.5978928,
2017,australia,oceania,infrastructure,26.879999,,,0.63110852,
2017,australia,oceania,infrastructure,22.93,,,0.63110852,
2018,australia,oceania,infrastructure,22.93,,,0.30495286,
2018,australia,oceania,infrastructure,22.870001,,,0.30495286,
2019,australia,oceania,infrastructure,22.870001,,,-0.23686819,
2019,australia,oceania,infrastructure,27.32,,,-0.23686819,
2020,australia,oceania,infrastructure,27.32,,,0.32831225,
2020,australia,oceania,infrastructure,26.719999,,,0.32831225,
2021,australia,oceania,infrastructure,26.719999,,-1.1570323,,
2021,australia,oceania,infrastructure,,,-1.1570323,,
2011,australia,oceania,services,24.15,,,-0.60350376,
2011,australia,oceania,services,26.049999,19.68,,-0.60350376,
2012,australia,oceania,services,26.049999,19.68,,-0.88585901,
2012,australia,oceania,services,35.400002,,,-0.88585901,
2013,australia,oceania,services,35.400002,,-0.58290964,-2.19836,
2013,australia,oceania,services,46.759998,17.450001,-0.58290964,-2.19836,
2014,australia,oceania,services,46.759998,17.450001,-0.17663433,0.055277273,-0.21545209
2014,australia,oceania,services,45.400002,20.98,-0.17663433,0.055277273,-0.21545209
2015,australia,oceania,services,45.400002,20.98,-0.2384315,-0.12546942,-0.22718513
2015,australia,oceania,services,47.400002,22.93,-0.2384315,-0.12546942,-0.22718513
2016,australia,oceania,services,47.400002,22.93,-0.31447875,-0.1661599,-0.26741987
2016,australia,oceania,services,48.540001,20.83,-0.31447875,-0.1661599,-0.26741987
2017,australia,oceania,services,48.540001,20.83,,0.40015569,-0.013881855
2017,australia,oceania,services,46.619999,20.040001,,0.40015569,-0.013881855
2018,australia,oceania,services,46.619999,20.040001,,0.53936738,-0.012631001
2018,australia,oceania,services,44.23,20.629999,,0.53936738,-0.012631001
2019,australia,oceania,services,44.23,20.629999,,0.27421811,-0.092869982
2019,australia,oceania,services,45,20.15,,0.27421811,-0.092869982
2020,australia,oceania,services,45,20.15,,0.87585467,-0.048750717
2020,australia,oceania,services,40.459999,22.15,,0.87585467,-0.048750717
2021,australia,oceania,services,40.459999,22.15,,-0.42025301,-0.10643764
2021,australia,oceania,services,45.59,22.809999,,-0.42025301,-0.10643764
2022,australia,oceania,services,45.59,22.809999,,0.16218686,-0.04763503
2011,australia,oceania,materials,49.540001,,0.72141451,,
2012,australia,oceania,materials,7.3000002,,1.2490385,5.6217704,
2013,australia,oceania,materials,7.0700002,,1.0461391,1.0689024,
2014,australia,oceania,materials,11.68,,0.38908225,0.013601185,
2015,australia,oceania,materials,4.6500001,,-0.035922959,0.91727322,
2016,australia,oceania,materials,5.3800001,,-0.078607216,-0.053795572,
2017,australia,oceania,materials,5.73,,0.67126673,0.98730332,
2018,australia,oceania,materials,9.1000004,,0.98227674,0.88673699,
2019,australia,oceania,materials,8.0299997,,0.3002179,0.83993256,
2020,australia,oceania,materials,31.690001,,0.03393947,-2.5718987,
2021,australia,oceania,materials,32.509998,,0.62351549,0.83397526,
2022,australia,oceania,materials,33.43,,,0.072326474,
2011,australia,oceania,fossil fuels,18.08,,-0.51579905,-0.98633903,
2011,australia,oceania,fossil fuels,16.42,,-0.51579905,-0.98633903,
2012,australia,oceania,fossil fuels,16.42,,-0.15340418,-0.21837391,
2012,australia,oceania,fossil fuels,18.290001,,-0.15340418,-0.21837391,
2013,australia,oceania,fossil fuels,18.290001,,0.12401172,0.32127419,
2013,australia,oceania,fossil fuels,17.690001,,0.12401172,0.32127419,
2014,australia,oceania,fossil fuels,17.690001,,-0.31292167,-1.1832778,
2014,australia,oceania,fossil fuels,25.08,,-0.31292167,-1.1832778,
2015,australia,oceania,fossil fuels,25.08,,0.15088654,-0.30394617,
2015,australia,oceania,fossil fuels,29.469999,,0.15088654,-0.30394617,
2016,australia,oceania,fossil fuels,29.469999,,0.42826647,0.64688033,
2016,australia,oceania,fossil fuels,29.26,,0.42826647,0.64688033,
2017,australia,oceania,fossil fuels,29.26,,,,
2017,australia,oceania,fossil fuels,,,,,
2018,australia,oceania,fossil fuels,,,,,
2019,australia,oceania,fossil fuels,,,,,
2020,australia,oceania,fossil fuels,,,,,
2021,australia,oceania,fossil fuels,,,,,
2022,australia,oceania,fossil fuels,,,,,
2011,australia,oceania,transportation services,24.68,,,-0.31384468,
2011,australia,oceania,transportation services,17.74,,,-0.31384468,
2012,australia,oceania,transportation services,17.74,,,-0.62339604,
2012,australia,oceania,transportation services,25.040001,,,-0.62339604,
2013,australia,oceania,transportation services,25.040001,,-1.3934706,-2.6595309,
2013,australia,oceania,transportation services,34.639999,,-1.3934706,-2.6595309,
2014,australia,oceania,transportation services,34.639999,,0.24546593,0.75875884,
2014,australia,oceania,transportation services,30.5,,0.24546593,0.75875884,
2015,australia,oceania,transportation services,30.5,,0.9638502,0.55216885,
2015,australia,oceania,transportation services,37.700001,,0.9638502,0.55216885,
2016,australia,oceania,transportation services,37.700001,,0.90603292,0.68160862,
2016,australia,oceania,transportation services,41.490002,486.14999,0.90603292,0.68160862,
2017,australia,oceania,transportation services,41.490002,486.14999,0.98672634,1.0829692,1.2976742
2017,australia,oceania,transportation services,42.310001,457.57001,0.98672634,1.0829692,1.2976742
2018,australia,oceania,transportation services,42.310001,457.57001,0.33480999,1.5908184,0.51670921
2018,australia,oceania,transportation services,36.009998,463.35001,0.33480999,1.5908184,0.51670921
2019,australia,oceania,transportation services,36.009998,463.35001,,-0.11755843,0.12772335
2019,australia,oceania,transportation services,40.43,451.87,,-0.11755843,0.12772335
2020,australia,oceania,transportation services,40.43,451.87,,0.61171442,-0.32053292
2020,australia,oceania,transportation services,38.830002,412.98001,,0.61171442,-0.32053292
2021,australia,oceania,transportation services,38.830002,412.98001,,0.42271739,-0.00346193
2021,australia,oceania,transportation services,37.48,481.70001,,0.42271739,-0.00346193
2022,australia,oceania,transportation services,37.48,481.70001,,0.26148579,0.29406893
2011,australia,oceania,apparel,29.049999,22.07,0.80983466,0.48692033,
2011,australia,oceania,apparel,40.110001,,0.80983466,0.48692033,
2012,australia,oceania,apparel,40.110001,,-0.21338686,-0.29614982,
2012,australia,oceania,apparel,42.91,,-0.21338686,-0.29614982,
2013,australia,oceania,apparel,42.91,,,0.44508794,
2013,australia,oceania,apparel,44.18,,,0.44508794,
2014,australia,oceania,apparel,44.18,,,1.2839822,
2014,australia,oceania,apparel,37.540001,,,1.2839822,
2015,australia,oceania,apparel,37.540001,,,-0.13488388,
2015,australia,oceania,apparel,40.700001,,,-0.13488388,
2016,australia,oceania,apparel,40.700001,,,-0.000427899,
2016,australia,oceania,apparel,43.470001,,,-0.000427899,
2017,australia,oceania,apparel,43.470001,,,,
2017,australia,oceania,apparel,,,,,
2018,australia,oceania,apparel,,,,,
2019,australia,oceania,apparel,,,,,
2020,australia,oceania,apparel,,,,,
2021,australia,oceania,apparel,,,,,
2022,australia,oceania,apparel,,,,,
2011,australia,oceania,materials,5.6700001,,,0.78134352,
2012,australia,oceania,materials,10.66,,,-0.29211688,
2013,australia,oceania,materials,5.02,,-0.48315659,0.40482482,
2014,australia,oceania,materials,4.25,,-2.9030831,-2.6794136,
