country,year,enscore,enero91v,ccii,gwe,gwghg
canada,2011,42.46036729,214.6669394,-0.377420676,-0.022039166,0.196858959
canada,2012,44.42714279,405.3368315,0.122074892,0.035867171,0.353915607
canada,2013,44.17657356,318.6825572,-0.100550994,-0.012634793,0.284201252
canada,2014,43.87349318,423.1041989,-0.181127253,-0.105531009,0.106037987
canada,2015,44.15945935,779.155209,-0.237235128,-0.078641521,0.412407889
canada,2016,44.44534245,946.699184,-0.224270751,-0.054479494,0.352733322
canada,2017,47.15691781,447.0573234,-0.089093529,-0.16595204,0.241680611
canada,2018,50.14952051,788.5480012,-0.022944974,-0.078228739,0.240067631
canada,2019,54.79554044,959.6064732,0.098429867,-0.227539826,-0.001453765
canada,2020,58.88413762,1309.799665,-0.153567101,-0.20887843,-0.176181026
canada,2021,61.10471817,1028.283525,0.333995851,0.257259641,0.390161677
canada,2022,61.1814999,1134.533331,-0.054023484,-0.06921143,0.234432006
cayman islands,2011,4.9699998,,,,
cayman islands,2012,3.51,,,0.14221212,
cayman islands,2013,3.8599999,,,0.21728796,
cayman islands,2014,5.0100002,,,-0.12798512,
cayman islands,2015,22.86000005,,,0.19529414,
cayman islands,2016,21.68999955,,,0.293936935,
cayman islands,2017,21.30499955,,,0.39700173,
cayman islands,2018,43.95,,-1.3598157,-2.39444795,
cayman islands,2019,38.146667,486.29999,-0.495702,-0.38990258,
cayman islands,2020,47.493333,562.87,-1.330593105,-1.730329323,0.030231124
cayman islands,2021,50.70333367,530.02002,-0.402315217,-0.646641497,0.42584199
cayman islands,2022,63.96333333,499.85001,-0.668474165,-2.47628068,-0.38607058
chile,2011,23.182,1899.64,-0.70404255,0.501604494,0.081253365
chile,2012,30.834,1229.44505,-0.15680079,-0.60332906,0.18964086
chile,2013,42.2319996,1300.625045,-1.035905495,-1.604467354,-0.440104915
chile,2014,43.1780006,797.76,-0.74110341,-0.329428564,-0.41218245
chile,2015,52.741666,1451.195028,-0.169684728,-1.130807956,0.266966967
chile,2016,51.236667,1181.553315,-0.344026993,0.166849615,0.135001279
chile,2017,68.42500033,1268.056667,-0.22601715,-1.804394918,-0.252719078
chile,2018,73.88666517,1198.996665,0.365564248,-0.294783525,-0.057460095
chile,2019,73.80166633,1200.28168,0.447095318,0.53672517,0.181746901
chile,2020,71.94499917,1680.015023,0.428180953,0.743141893,0.188225657
chile,2021,70.64499967,1404.823334,0.528258733,0.915595195,0.740987713
chile,2022,71.07333267,1175.123333,0.336041414,0.424702464,0.35605696
china,2011,24.3832433,25.6,-0.635371478,0.957889757,
china,2012,29.53081056,40.8949995,0.051817476,-0.136235184,0.54257107
